link,college name,Estd,Rating,Review,facilities,image,Address,contact_no,website
https://collegedunia.com/college/10086-st-johns-pharmacy-college-bangalore,"St John's Pharmacy College, Bangalore",Estd 2014,"6.6,6.6",8 reviews,"Comp,Labs,Sports,Gym,Medical,Cafeteria,Laboratory,Library,Auditorium,Hostel,",https://images.collegedunia.com/public/college_data/images/appImage/10086_SJPC_New.jpg?w=1286&h=193&mode=stretch,"No.6, 9th Cross, IInd Main Vijayanagar IInd Stage Hampinagar 
 Bangalore - 560104 
 Karnataka ,    India ",",080-23300668  ,    23300958  ,    23350035  ,    23300668",http://www.stjohns.edu.in/pharmacy.html
https://collegedunia.com/college/12537-st-george-college-of-management-science-and-nursing-bangalore,"St George College of Management Science and Nursing, Bangalore",Estd 1998,"6.4,6.4",4 reviews,"Comp,Labs,Library,Auditorium,Hostel,Sports,Medical,Cafeteria,Laboratory,",https://images.collegedunia.com/public/college_data/images/appImage/12537_SGC.jpg?w=1286&h=193&mode=stretch,"O.M.B.R. Layout 3rd Main 4th Cross 
 Bangalore - 560033 
 Karnataka ,    India ",",080-25450193  ,    25450194,9742575774",http://www.stgeorgecollege.org
https://collegedunia.com/college/17094-administrative-management-college-amc-bangalore,"Administrative Management College - [AMC], Bangalore",Estd 1987,"5.5,5.5",10 reviews,"Comp,Labs,Sports,Medical,Cafeteria,Library,Auditorium,Hostel,",https://images.collegedunia.com/public/college_data/images/appImage/17094_AMC.jpg?w=1286&h=193&mode=stretch,"18th K. M. Bannerghatta Main Road 
 Bangalore - 560083 
 Karnataka ,    India ",",080- 27828299,8050050681  ,    8050050682  ,    8050050683  ,    8050050684",http://amcgroup.edu.in/AMC/index.php
https://collegedunia.com/college/27859-ifim-business-school-bangalore,"IFIM Business School, Bangalore",Estd 1995,"7.2,7.2",53 reviews,"Comp,Labs,Sports,Gym,Medical,Cafeteria,Library,Auditorium,Hostel,Laboratory,Wi-Fi,Campus,",https://images.collegedunia.com/public/college_data/images/appImage/27859_IFIM-General-Pics-3.jpg?w=1286&h=193&mode=stretch,"(Opp. Infosys Campus Gate # 4) # 8P & 9P, KIADB Industrial Area, Electronics City 1st Phase 
 Bangalore - 560100 
 Karnataka ,    India ",",080-41432800  ,    41432888,Admission -  9900067706  ,    9900067708",http://www.ifimbschool.com
https://collegedunia.com/university/25606-jain-university-ju-bangalore,"Jain University - [JU], Bangalore",Estd 1990,"7.8,7.8",210 reviews,"Library,Laboratory,Comp,Labs,Medical,Auditorium,Cafeteria,Transport,Sports,Gym,Classrooms,Hostel,Wi-Fi,Campus,",https://images.collegedunia.com/public/college_data/images/appImage/1578118393jgi.jpg?w=1286&h=193&mode=stretch,"44/4, District Fund Road, Behind Big Bazaar, Jayanagar 9th block 
 Bangalore - 560069 
 Karnataka ,    India ",",080-46650130,8046650100  ,    804650 1767",http://www.jainuniversity.ac.in/
https://collegedunia.com/college/7011-aj-aviation-academy-bangalore,"AJ Aviation Academy, Bangalore",Estd 2009,,,,https://images.collegedunia.com/public/college_data/images/appImage/7011_AJAVAIATION_APP.jpg?w=1286&h=193&mode=stretch,"Behind I.T.C. Factory, Airport Express Highway, Tharabanahalli, Chikjala Post 
 Bangalore - 562157 
 Karnataka ,    India ",",080- 22724956,9916516072  ,    9036197089",http://www.ajinstitutions.com
https://collegedunia.com/college/2671-ramaiah-college-of-arts-science-and-commerce-rcasc-bangalore,"Ramaiah College of Arts, Science and Commerce - [RCASC], Bangalore",Estd 1994,"7.9,7.9",33 reviews,"Hostel,Library,Laboratory,Comp,Labs,Auditorium,Medical,Gym,Sports,Cafeteria,",https://images.collegedunia.com/public/college_data/images/appImage/2671_MSRAS.jpg?w=1286&h=193&mode=stretch,"M.S.R.I.T Post, M.S.R.Nagar 
 Bangalore - 560054 
 Karnataka ,    India ",",080-23600966  ,    65329515",http://www.msrcasc.edu.in
https://collegedunia.com/college/9433-gautham-college-of-pharmacy-gcp-bangalore,"Gautham College of Pharmacy - [GCP], Bangalore",Estd 1985,"8.4,8.4",2 reviews,"Library,Laboratory,Cafeteria,Comp,Labs,Medical,Hostel,Auditorium,Sports,Classrooms,",https://images.collegedunia.com/public/college_data/images/appImage/9433_GCP_New.jpg?w=1286&h=193&mode=stretch,"Bhuvaneshwari nagar, R. T. Nagar post 
 Bangalore - 560032 
 Karnataka ,    India ",",080-23334828  ,    23639720",http://www.gauthamcollege.org/
https://collegedunia.com/college/3099-nmkrv-college-for-women-bangalore,"NMKRV College for Women, Bangalore",Estd 1973,"7.9,7.9",10 reviews,"Medical,Cafeteria,Library,Auditorium,Hostel,Laboratory,Comp,Labs,Sports,Gym,",https://images.collegedunia.com/public/college_data/images/appImage/3099_NMKRV.jpg?w=1286&h=193&mode=stretch,"3rd block, Jaya Nagar East, Near Uphara Darshini, Banashankari 
 Bangalore - 560011 
 Karnataka ,    India ",",0802-6637042,9845536508",http://nmkrvcollege.net/
https://collegedunia.com/college/10130-the-oxford-college-of-pharmacy-bangalore,"The Oxford College of Pharmacy, Bangalore",Estd 1992,"6.1,6.1",12 reviews,"Comp,Labs,Sports,Gym,Medical,Cafeteria,Laboratory,Library,Auditorium,Hostel,",https://images.collegedunia.com/public/college_data/images/appImage/10130_OCP_NEW.jpg?w=1286&h=193&mode=stretch,"6/9, 1st Cross, Begur Road, Hongasandra 
 Bangalore - 560068 
 Karnataka ,    India ",",080-30219801  ,    30219802",http://www.theoxford.edu/pharmacy
